SensorName,Time,Value
Preben - Canteen Humidity,2025-02-14 16:05:37,18.89
Preben - Canteen Humidity,2025-02-14 16:00:32,18.94
Preben - Canteen Humidity,2025-02-14 15:55:36,19.05
Preben - Canteen Humidity,2025-02-14 15:50:31,18.92
Preben - Canteen Humidity,2025-02-14 15:45:34,19.03
Preben - Canteen Humidity,2025-02-14 15:40:38,19.14
Preben - Canteen Humidity,2025-02-14 15:35:30,19.32
Preben - Canteen Humidity,2025-02-14 15:30:37,18.64
Preben - Canteen Humidity,2025-02-14 15:25:35,18.43
Preben - Canteen Humidity,2025-02-14 15:20:37,18.35
Preben - Canteen Humidity,2025-02-14 15:15:38,18.65
Preben - Canteen Humidity,2025-02-14 15:10:37,19.05
Preben - Canteen Humidity,2025-02-14 15:05:37,18.92
Preben - Canteen Humidity,2025-02-14 15:00:35,18.52
Preben - Canteen Humidity,2025-02-14 14:55:34,18.59
Preben - Canteen Humidity,2025-02-14 14:50:38,18.52
Preben - Canteen Humidity,2025-02-14 14:45:36,18.67
Preben - Canteen Humidity,2025-02-14 14:40:38,18.69
Preben - Canteen Humidity,2025-02-14 14:35:37,18.75
Preben - Canteen Humidity,2025-02-14 14:30:36,18.93
Preben - Canteen Humidity,2025-02-14 14:25:31,19.02
Preben - Canteen Humidity,2025-02-14 14:20:37,18.99
Preben - Canteen Humidity,2025-02-14 14:15:38,19.32
Preben - Canteen Humidity,2025-02-14 14:10:36,18.95
Preben - Canteen Humidity,2025-02-14 14:05:37,18.58
Preben - Canteen Humidity,2025-02-14 14:00:37,18.64
Preben - Canteen Humidity,2025-02-14 13:55:36,19
Preben - Canteen Humidity,2025-02-14 13:50:37,18.97
Preben - Canteen Humidity,2025-02-14 13:45:35,19.26
Preben - Canteen Humidity,2025-02-14 13:40:35,19.68
Preben - Canteen Humidity,2025-02-14 13:35:36,19.63
Preben - Canteen Humidity,2025-02-14 13:30:37,19.43
Preben - Canteen Humidity,2025-02-14 13:25:38,19.51
Preben - Canteen Humidity,2025-02-14 13:20:36,19.5
Preben - Canteen Humidity,2025-02-14 13:15:37,19.95
Preben - Canteen Humidity,2025-02-14 13:10:37,20.06
Preben - Canteen Humidity,2025-02-14 13:05:38,20.46
Preben - Canteen Humidity,2025-02-14 12:55:37,21.81
Preben - Canteen Humidity,2025-02-14 12:50:38,22.6
Preben - Canteen Humidity,2025-02-14 12:45:36,22.29
Preben - Canteen Humidity,2025-02-14 12:40:36,22.72
Preben - Canteen Humidity,2025-02-14 12:35:36,23.51
Preben - Canteen Humidity,2025-02-14 12:30:30,23.1
Preben - Canteen Humidity,2025-02-14 12:25:37,23.03
Preben - Canteen Humidity,2025-02-14 12:20:36,23.7
Preben - Canteen Humidity,2025-02-14 12:15:38,23.8
Preben - Canteen Humidity,2025-02-14 12:10:38,23.21
Preben - Canteen Humidity,2025-02-14 12:05:35,23.61
Preben - Canteen Humidity,2025-02-14 12:00:34,22.52
Preben - Canteen Humidity,2025-02-14 11:55:35,22.55
Preben - Canteen Humidity,2025-02-14 11:50:21,21.98
Preben - Canteen Humidity,2025-02-14 11:45:34,21.93
Preben - Canteen Humidity,2025-02-14 11:40:36,20.25
Preben - Canteen Humidity,2025-02-14 11:35:36,20
Preben - Canteen Humidity,2025-02-14 11:30:37,19.96
Preben - Canteen Humidity,2025-02-14 11:25:38,19.87
Preben - Canteen Humidity,2025-02-14 11:20:36,19.86
Preben - Canteen Humidity,2025-02-14 11:10:37,20.66
Preben - Canteen Humidity,2025-02-14 11:05:37,20.55
Preben - Canteen Humidity,2025-02-14 11:00:36,20.7
Preben - Canteen Humidity,2025-02-14 10:55:37,21.04
Preben - Canteen Humidity,2025-02-14 10:50:38,21.31
Preben - Canteen Humidity,2025-02-14 10:45:38,20.36
Preben - Canteen Humidity,2025-02-14 10:40:38,20.31
Preben - Canteen Humidity,2025-02-14 10:35:37,19.78
Preben - Canteen Humidity,2025-02-14 10:30:36,19.67
Preben - Canteen Humidity,2025-02-14 10:25:37,19.62
Preben - Canteen Humidity,2025-02-14 10:20:32,19.68
Preben - Canteen Humidity,2025-02-14 10:15:38,20.06
Preben - Canteen Humidity,2025-02-14 10:10:36,20.11
Preben - Canteen Humidity,2025-02-14 10:05:37,20.05
Preben - Canteen Humidity,2025-02-14 10:00:37,20.07
Preben - Canteen Humidity,2025-02-14 09:55:36,20.51
Preben - Canteen Humidity,2025-02-14 09:50:36,20.87
Preben - Canteen Humidity,2025-02-14 09:45:36,20.92
Preben - Canteen Humidity,2025-02-14 09:40:37,21.16
Preben - Canteen Humidity,2025-02-14 09:35:35,20.49
Preben - Canteen Humidity,2025-02-14 09:30:37,20.25
Preben - Canteen Humidity,2025-02-14 09:25:37,20.32
Preben - Canteen Humidity,2025-02-14 09:20:37,20.15
Preben - Canteen Humidity,2025-02-14 09:15:36,20.1
Preben - Canteen Humidity,2025-02-14 09:10:37,20.74
Preben - Canteen Humidity,2025-02-14 09:05:38,20.73
Preben - Canteen Humidity,2025-02-14 09:00:35,20.76
Preben - Canteen Humidity,2025-02-14 08:55:37,20.68
Preben - Canteen Humidity,2025-02-14 08:50:38,21.67
Preben - Canteen Humidity,2025-02-14 08:45:36,21.87
Preben - Canteen Humidity,2025-02-14 08:40:37,22.03
Preben - Canteen Humidity,2025-02-14 08:35:36,22.26
Preben - Canteen Humidity,2025-02-14 08:30:35,21.88
Preben - Canteen Humidity,2025-02-14 08:25:38,21.96
Preben - Canteen Humidity,2025-02-14 08:20:37,21.46
Preben - Canteen Humidity,2025-02-14 08:15:38,21.28
Preben - Canteen Humidity,2025-02-14 08:10:37,21.52
Preben - Canteen Humidity,2025-02-14 08:05:37,21.06
Preben - Canteen Humidity,2025-02-14 08:00:37,20.13
Preben - Canteen Humidity,2025-02-14 07:55:37,19.48
Preben - Canteen Humidity,2025-02-14 07:50:38,19.57
Preben - Canteen Humidity,2025-02-14 07:45:34,19.44
