SensorName,Time,Value
Preben - Canteen Humidity,2025-02-24 15:00:48,33.6
Preben - Canteen Humidity,2025-02-24 14:55:48,33.74
Preben - Canteen Humidity,2025-02-24 14:50:49,33.53
Preben - Canteen Humidity,2025-02-24 14:45:46,33.62
Preben - Canteen Humidity,2025-02-24 14:40:49,33.73
Preben - Canteen Humidity,2025-02-24 14:35:48,33.29
Preben - Canteen Humidity,2025-02-24 14:30:47,33.31
Preben - Canteen Humidity,2025-02-24 14:25:47,33.43
Preben - Canteen Humidity,2025-02-24 14:20:47,33.35
Preben - Canteen Humidity,2025-02-24 14:15:48,33.37
Preben - Canteen Humidity,2025-02-24 14:10:47,33.35
Preben - Canteen Humidity,2025-02-24 14:05:48,33.25
Preben - Canteen Humidity,2025-02-24 14:00:48,33.28
Preben - Canteen Humidity,2025-02-24 13:55:46,33.33
Preben - Canteen Humidity,2025-02-24 13:50:49,33.35
Preben - Canteen Humidity,2025-02-24 13:45:46,33.4
Preben - Canteen Humidity,2025-02-24 13:40:49,33.41
Preben - Canteen Humidity,2025-02-24 13:35:47,33.63
Preben - Canteen Humidity,2025-02-24 13:30:49,33.66
Preben - Canteen Humidity,2025-02-24 13:25:49,33.76
Preben - Canteen Humidity,2025-02-24 13:20:48,34.28
Preben - Canteen Humidity,2025-02-24 13:15:47,34.42
Preben - Canteen Humidity,2025-02-24 13:10:48,34.48
Preben - Canteen Humidity,2025-02-24 13:05:46,35.1
Preben - Canteen Humidity,2025-02-24 13:00:48,35.22
Preben - Canteen Humidity,2025-02-24 12:55:47,35.02
Preben - Canteen Humidity,2025-02-24 12:50:28,35.21
Preben - Canteen Humidity,2025-02-24 12:45:43,34.93
Preben - Canteen Humidity,2025-02-24 12:40:47,35.46
Preben - Canteen Humidity,2025-02-24 12:35:47,34.9
Preben - Canteen Humidity,2025-02-24 12:30:35,36.28
Preben - Canteen Humidity,2025-02-24 12:25:33,35.6
Preben - Canteen Humidity,2025-02-24 12:20:47,35.68
Preben - Canteen Humidity,2025-02-24 12:15:40,34.89
Preben - Canteen Humidity,2025-02-24 12:10:48,33.57
Preben - Canteen Humidity,2025-02-24 12:05:49,33.33
Preben - Canteen Humidity,2025-02-24 12:00:47,33.2
Preben - Canteen Humidity,2025-02-24 11:55:48,33.13
Preben - Canteen Humidity,2025-02-24 11:50:46,33.19
Preben - Canteen Humidity,2025-02-24 11:45:42,33.27
Preben - Canteen Humidity,2025-02-24 11:40:47,33.13
Preben - Canteen Humidity,2025-02-24 11:35:45,33.25
Preben - Canteen Humidity,2025-02-24 11:30:44,33.32
Preben - Canteen Humidity,2025-02-24 11:25:48,33.36
Preben - Canteen Humidity,2025-02-24 11:20:48,33.49
Preben - Canteen Humidity,2025-02-24 11:15:47,33.63
Preben - Canteen Humidity,2025-02-24 11:10:47,33.72
Preben - Canteen Humidity,2025-02-24 11:05:44,33.17
Preben - Canteen Humidity,2025-02-24 11:00:48,33.31
Preben - Canteen Humidity,2025-02-24 10:55:44,33.08
Preben - Canteen Humidity,2025-02-24 10:50:48,32.99
Preben - Canteen Humidity,2025-02-24 10:45:46,33.05
Preben - Canteen Humidity,2025-02-24 10:40:48,33.07
Preben - Canteen Humidity,2025-02-24 10:35:46,33.05
Preben - Canteen Humidity,2025-02-24 10:30:45,33.23
Preben - Canteen Humidity,2025-02-24 10:25:49,33.34
Preben - Canteen Humidity,2025-02-24 10:20:47,33.47
