SensorName,Time,Value
Preben - Canteen Humidity,2025-03-20 16:12:00,21.78
Preben - Canteen Humidity,2025-03-20 16:07:00,21.82
Preben - Canteen Humidity,2025-03-20 16:02:00,21.81
Preben - Canteen Humidity,2025-03-20 15:57:01,21.81
Preben - Canteen Humidity,2025-03-20 15:52:01,21.77
Preben - Canteen Humidity,2025-03-20 15:47:01,21.83
Preben - Canteen Humidity,2025-03-20 15:41:58,21.77
Preben - Canteen Humidity,2025-03-20 15:37:02,21.72
Preben - Canteen Humidity,2025-03-20 15:32:03,21.74
Preben - Canteen Humidity,2025-03-20 15:27:01,21.78
Preben - Canteen Humidity,2025-03-20 15:22:02,21.82
Preben - Canteen Humidity,2025-03-20 15:16:59,21.91
Preben - Canteen Humidity,2025-03-20 15:12:00,21.8
Preben - Canteen Humidity,2025-03-20 15:07:00,21.74
Preben - Canteen Humidity,2025-03-20 15:02:01,21.65
Preben - Canteen Humidity,2025-03-20 14:57:01,21.63
Preben - Canteen Humidity,2025-03-20 14:52:01,21.64
Preben - Canteen Humidity,2025-03-20 14:47:00,21.65
Preben - Canteen Humidity,2025-03-20 14:42:00,21.72
Preben - Canteen Humidity,2025-03-20 14:37:01,21.73
Preben - Canteen Humidity,2025-03-20 14:32:02,21.79
Preben - Canteen Humidity,2025-03-20 14:27:02,21.75
Preben - Canteen Humidity,2025-03-20 14:22:00,21.61
Preben - Canteen Humidity,2025-03-20 14:17:01,21.6
Preben - Canteen Humidity,2025-03-20 14:12:02,21.67
Preben - Canteen Humidity,2025-03-20 14:07:00,21.62
Preben - Canteen Humidity,2025-03-20 14:01:56,21.7
Preben - Canteen Humidity,2025-03-20 13:57:02,21.73
Preben - Canteen Humidity,2025-03-20 13:52:00,21.66
Preben - Canteen Humidity,2025-03-20 13:47:02,21.72
Preben - Canteen Humidity,2025-03-20 13:42:01,21.76
Preben - Canteen Humidity,2025-03-20 13:37:02,21.77
Preben - Canteen Humidity,2025-03-20 13:32:01,21.89
Preben - Canteen Humidity,2025-03-20 13:27:01,21.77
Preben - Canteen Humidity,2025-03-20 13:21:59,21.92
Preben - Canteen Humidity,2025-03-20 13:17:00,22
Preben - Canteen Humidity,2025-03-20 13:12:01,22
Preben - Canteen Humidity,2025-03-20 13:07:01,22.33
Preben - Canteen Humidity,2025-03-20 13:01:59,22.68
Preben - Canteen Humidity,2025-03-20 12:57:03,23
Preben - Canteen Humidity,2025-03-20 12:51:58,23.4
Preben - Canteen Humidity,2025-03-20 12:46:59,23.59
Preben - Canteen Humidity,2025-03-20 12:41:56,23.32
Preben - Canteen Humidity,2025-03-20 12:36:59,23.27
Preben - Canteen Humidity,2025-03-20 12:32:02,23.55
Preben - Canteen Humidity,2025-03-20 12:26:57,23.39
Preben - Canteen Humidity,2025-03-20 12:22:00,22.57
Preben - Canteen Humidity,2025-03-20 12:17:00,22.39
Preben - Canteen Humidity,2025-03-20 12:11:57,22.55
Preben - Canteen Humidity,2025-03-20 12:06:59,22.15
Preben - Canteen Humidity,2025-03-20 12:02:02,21.86
Preben - Canteen Humidity,2025-03-20 11:57:01,21.76
Preben - Canteen Humidity,2025-03-20 11:52:01,21.66
Preben - Canteen Humidity,2025-03-20 11:47:02,21.74
Preben - Canteen Humidity,2025-03-20 11:41:57,21.68
Preben - Canteen Humidity,2025-03-20 11:37:00,21.84
Preben - Canteen Humidity,2025-03-20 11:32:02,21.87
Preben - Canteen Humidity,2025-03-20 11:26:57,21.86
Preben - Canteen Humidity,2025-03-20 11:22:02,21.97
Preben - Canteen Humidity,2025-03-20 11:17:02,21.74
Preben - Canteen Humidity,2025-03-20 11:12:00,21.75
Preben - Canteen Humidity,2025-03-20 11:06:59,21.75
Preben - Canteen Humidity,2025-03-20 11:02:01,21.83
Preben - Canteen Humidity,2025-03-20 10:57:02,21.97
Preben - Canteen Humidity,2025-03-20 10:52:00,22.13
Preben - Canteen Humidity,2025-03-20 10:47:01,22.39
Preben - Canteen Humidity,2025-03-20 10:42:01,22.43
Preben - Canteen Humidity,2025-03-20 10:37:00,22.64
Preben - Canteen Humidity,2025-03-20 10:32:01,23.01
Preben - Canteen Humidity,2025-03-20 10:26:56,23.02
Preben - Canteen Humidity,2025-03-20 10:22:02,23.16
Preben - Canteen Humidity,2025-03-20 10:17:00,23.46
Preben - Canteen Humidity,2025-03-20 10:11:56,23.45
Preben - Canteen Humidity,2025-03-20 10:06:56,23.54
Preben - Canteen Humidity,2025-03-20 10:02:00,23.59
