Tag name: Preben - Office 403 - Temperature
Time, Value
2025-03-18 23:56:58,22.33
2025-03-18 23:51:54,22.35
2025-03-18 23:47:01,22.35
2025-03-18 23:42:00,22.38
2025-03-18 23:36:56,22.39
2025-03-18 23:31:59,22.39
2025-03-18 23:27:00,22.41
2025-03-18 23:21:59,22.42
2025-03-18 23:17:00,22.42
2025-03-18 23:11:59,22.43
2025-03-18 23:07:01,22.43
2025-03-18 23:01:55,22.46
2025-03-18 22:56:57,22.46
2025-03-18 22:52:01,22.46
2025-03-18 22:46:57,22.47
2025-03-18 22:41:59,22.48
2025-03-18 22:36:50,22.54
2025-03-18 22:31:59,22.54
2025-03-18 22:26:54,22.51
2025-03-18 22:21:54,22.52
2025-03-18 22:17:02,22.53
2025-03-18 22:11:59,22.54
2025-03-18 22:07:01,22.55
2025-03-18 22:02:01,22.56
2025-03-18 22:02:01,22.56
2025-03-18 21:56:59,22.58
2025-03-18 21:52:00,22.58
2025-03-18 21:46:57,22.59
2025-03-18 21:42:01,22.6
2025-03-18 21:36:56,22.62
2025-03-18 21:31:45,22.63
2025-03-18 21:26:52,22.63
2025-03-18 21:22:00,22.65
2025-03-18 21:17:01,22.65
2025-03-18 21:11:58,22.67
2025-03-18 21:06:55,22.69
2025-03-18 21:02:01,22.7
2025-03-18 20:57:00,22.71
2025-03-18 20:51:54,22.73
2025-03-18 20:47:00,22.74
2025-03-18 20:42:02,22.75
2025-03-18 20:36:59,22.76
2025-03-18 20:32:00,22.78
2025-03-18 20:27:01,22.79
2025-03-18 20:22:02,22.81
2025-03-18 20:16:54,22.83
2025-03-18 20:12:01,22.84
2025-03-18 20:07:00,22.85
2025-03-18 20:01:48,22.85
2025-03-18 19:57:01,22.87
2025-03-18 19:51:58,22.89
2025-03-18 19:46:51,22.9
2025-03-18 19:42:01,22.93
2025-03-18 19:36:57,22.94
2025-03-18 19:31:56,22.95
2025-03-18 19:27:00,22.98
2025-03-18 19:22:00,22.99
2025-03-18 19:17:01,23.01
2025-03-18 19:12:00,23.03
2025-03-18 19:06:57,23.04
2025-03-18 19:02:01,23.07
2025-03-18 18:56:57,23.09
2025-03-18 18:52:01,23.12
2025-03-18 18:47:01,23.14
2025-03-18 18:42:00,23.15
2025-03-18 18:36:50,23.17
2025-03-18 18:31:57,23.2
2025-03-18 18:26:53,23.23
2025-03-18 18:22:01,23.25
2025-03-18 18:17:00,23.26
2025-03-18 18:11:56,23.28
2025-03-18 18:07:00,23.34
2025-03-18 18:02:00,23.38
2025-03-18 17:56:58,23.4
2025-03-18 17:51:58,23.42
2025-03-18 17:47:00,23.45
2025-03-18 17:42:02,23.47
2025-03-18 17:36:58,23.5
2025-03-18 17:32:02,23.52
2025-03-18 17:27:01,23.53
2025-03-18 17:21:57,23.53
2025-03-18 17:16:56,23.53
2025-03-18 17:12:00,23.55
2025-03-18 17:07:02,23.56
2025-03-18 17:01:56,23.58
2025-03-18 16:57:00,23.61
2025-03-18 16:52:00,23.65
2025-03-18 16:46:56,23.66
2025-03-18 16:41:58,23.74
2025-03-18 16:36:59,24.16
2025-03-18 16:31:55,23.74
2025-03-18 16:27:00,23.54
2025-03-18 16:21:52,23.83
2025-03-18 16:16:57,23.43
2025-03-18 16:12:00,23.58
2025-03-18 16:07:00,23.44
2025-03-18 16:01:54,23.34
2025-03-18 15:56:48,23.23
2025-03-18 15:51:56,23.22
2025-03-18 15:47:00,23.21
2025-03-18 15:42:02,23.21
2025-03-18 15:36:53,23.14
2025-03-18 15:31:43,23.15
2025-03-18 15:26:59,23.14
2025-03-18 15:21:50,23.14
2025-03-18 15:16:05,23.14
2025-03-18 15:11:59,23.14
2025-03-18 15:06:39,23.14
2025-03-18 15:02:00,23.14
2025-03-18 14:57:01,23.14
2025-03-18 14:51:54,23.14
2025-03-18 14:46:58,23.15
2025-03-18 14:41:58,23.15
2025-03-18 14:36:52,23.15
2025-03-18 14:32:01,23.16
2025-03-18 14:26:53,23.16
2025-03-18 14:21:59,23.16
2025-03-18 14:16:56,23.17
2025-03-18 14:11:57,23.18
2025-03-18 14:07:00,23.18
2025-03-18 14:01:58,23.18
2025-03-18 13:56:58,23.18
2025-03-18 13:51:58,23.19
2025-03-18 13:46:35,23.19
2025-03-18 13:41:49,23.2
2025-03-18 13:37:02,23.19
2025-03-18 13:31:57,23.18
2025-03-18 13:27:01,23.17
2025-03-18 13:21:24,23.16
2025-03-18 13:16:57,23.17
2025-03-18 13:11:49,23.13
2025-03-18 13:06:50,23.11
2025-03-18 13:01:46,23.1
