Tag name: Preben - Office 406 - Humidity
Time, Value
2025-03-16 23:57:01,19.87
2025-03-16 23:52:01,19.9
2025-03-16 23:47:00,19.89
2025-03-16 23:42:01,19.94
2025-03-16 23:37:01,19.95
2025-03-16 23:32:00,19.92
2025-03-16 23:27:00,19.9
2025-03-16 23:22:00,19.91
2025-03-16 23:17:01,19.9
2025-03-16 23:12:01,19.88
2025-03-16 23:07:01,19.99
2025-03-16 23:02:01,19.96
2025-03-16 22:57:01,19.94
2025-03-16 22:52:00,19.87
2025-03-16 22:47:01,19.88
2025-03-16 22:42:00,19.88
2025-03-16 22:37:01,19.9
2025-03-16 22:32:01,19.84
2025-03-16 22:27:01,19.79
2025-03-16 22:22:01,19.94
2025-03-16 22:17:01,19.83
2025-03-16 22:12:00,19.9
2025-03-16 22:07:01,19.95
2025-03-16 22:02:01,19.87
2025-03-16 21:57:01,19.92
2025-03-16 21:52:01,19.84
2025-03-16 21:47:01,19.82
2025-03-16 21:42:01,19.91
2025-03-16 21:37:01,19.88
2025-03-16 21:32:00,19.87
2025-03-16 21:27:00,19.84
2025-03-16 21:21:59,19.75
2025-03-16 21:17:00,19.81
2025-03-16 21:12:00,19.82
2025-03-16 21:06:58,19.8
2025-03-16 21:02:00,19.74
2025-03-16 20:57:01,19.75
2025-03-16 20:51:59,19.66
2025-03-16 20:46:59,19.71
2025-03-16 20:42:00,19.68
2025-03-16 20:37:00,19.62
2025-03-16 20:32:01,19.59
2025-03-16 20:27:01,19.65
2025-03-16 20:22:02,19.57
2025-03-16 20:17:01,19.6
2025-03-16 20:12:01,19.66
2025-03-16 20:07:02,19.65
2025-03-16 20:02:01,19.53
2025-03-16 19:57:01,19.43
2025-03-16 19:52:01,19.49
2025-03-16 19:47:01,19.55
2025-03-16 19:42:01,19.53
2025-03-16 19:37:00,19.47
2025-03-16 19:32:01,19.41
2025-03-16 19:27:02,19.48
2025-03-16 19:22:00,19.36
2025-03-16 19:17:01,19.29
2025-03-16 19:11:59,19.39
2025-03-16 19:07:01,19.37
2025-03-16 19:02:01,19.41
2025-03-16 18:57:01,19.28
2025-03-16 18:52:00,19.37
2025-03-16 18:46:59,19.3
2025-03-16 18:42:00,19.43
2025-03-16 18:37:01,19.34
2025-03-16 18:32:01,19.28
2025-03-16 18:27:01,19.35
2025-03-16 18:22:01,19.21
2025-03-16 18:16:59,19.22
2025-03-16 18:12:01,19.23
2025-03-16 18:06:59,19.22
2025-03-16 18:01:59,19.2
2025-03-16 17:57:01,19.19
2025-03-16 17:51:59,19.18
2025-03-16 17:46:59,19.1
2025-03-16 17:41:58,19.15
2025-03-16 17:36:58,19.23
2025-03-16 17:32:00,19.2
2025-03-16 17:26:59,19.1
2025-03-16 17:21:59,19.24
2025-03-16 17:16:58,19.12
2025-03-16 17:12:01,19.15
2025-03-16 17:07:01,19.07
2025-03-16 17:01:59,19.06
2025-03-16 16:57:01,19.03
2025-03-16 16:52:01,19.25
2025-03-16 16:47:01,19.04
2025-03-16 16:42:00,19.04
2025-03-16 16:37:01,19.28
2025-03-16 16:32:01,19.06
2025-03-16 16:27:01,18.92
2025-03-16 16:22:00,19.22
2025-03-16 16:17:01,19.16
2025-03-16 16:12:00,18.82
2025-03-16 16:07:01,19.19
2025-03-16 16:02:01,19.18
2025-03-16 15:57:01,18.74
2025-03-16 15:52:00,19.16
2025-03-16 15:47:00,19.08
2025-03-16 15:42:01,19.1
2025-03-16 15:37:01,19.27
2025-03-16 15:32:01,19.31
2025-03-16 15:27:01,18.82
2025-03-16 15:22:00,19.29
2025-03-16 15:17:01,19.15
2025-03-16 15:12:01,18.81
2025-03-16 15:07:01,19.28
2025-03-16 15:02:00,19.28
2025-03-16 14:57:01,18.95
2025-03-16 14:52:01,19.32
2025-03-16 14:47:01,19.26
2025-03-16 14:42:01,19.33
2025-03-16 14:37:01,19.31
2025-03-16 14:32:00,19.19
2025-03-16 14:27:01,19.49
2025-03-16 14:22:00,19.52
2025-03-16 14:17:00,19.09
2025-03-16 14:12:00,19.62
2025-03-16 14:07:00,19.4
2025-03-16 14:02:00,19.12
2025-03-16 13:57:00,19.51
2025-03-16 13:51:59,19.33
2025-03-16 13:47:00,19.11
2025-03-16 13:42:01,19.67
2025-03-16 13:37:01,19.5
2025-03-16 13:32:01,19.5
2025-03-16 13:27:00,19.83
2025-03-16 13:22:01,19.73
2025-03-16 13:17:01,20.13
2025-03-16 13:12:00,20.01
2025-03-16 13:07:00,19.71
2025-03-16 13:02:02,20.38
2025-03-16 12:56:58,20.03
2025-03-16 12:52:00,19.49
2025-03-16 12:47:01,20.22
2025-03-16 12:42:01,20.15
2025-03-16 12:37:01,20.18
2025-03-16 12:32:01,20.29
2025-03-16 12:27:01,20.12
2025-03-16 12:22:00,20.38
2025-03-16 12:17:01,20.32
2025-03-16 12:12:01,20.32
2025-03-16 12:07:00,20.59
2025-03-16 12:02:01,20.48
2025-03-16 11:57:01,20.41
2025-03-16 11:52:00,20.83
2025-03-16 11:47:00,20.68
2025-03-16 11:42:01,20.83
2025-03-16 11:37:00,21.12
2025-03-16 11:32:01,20.86
2025-03-16 11:27:01,21
2025-03-16 11:22:00,21.19
2025-03-16 11:17:01,21.21
2025-03-16 11:12:01,21.65
2025-03-16 11:07:00,21.35
2025-03-16 11:02:00,21.34
2025-03-16 10:57:01,21.34
2025-03-16 10:52:01,21.6
2025-03-16 10:46:58,21.56
