Tag name: Preben - Office 403 - Humidity
Time, Value
2025-02-04 23:59:49,30.51
2025-02-04 23:54:50,30.46
2025-02-04 23:49:38,30.46
2025-02-04 23:44:48,30.47
2025-02-04 23:39:47,30.47
2025-02-04 23:34:49,30.36
2025-02-04 23:29:50,30.35
2025-02-04 23:24:50,30.41
2025-02-04 23:19:37,30.31
2025-02-04 23:14:48,30.3
2025-02-04 23:09:33,30.33
2025-02-04 23:04:47,30.3
2025-02-04 22:59:47,30.25
2025-02-04 22:54:49,30.23
2025-02-04 22:49:48,30.24
2025-02-04 22:44:50,30.22
2025-02-04 22:39:27,30.2
2025-02-04 22:34:39,30.19
2025-02-04 22:29:44,30.17
2025-02-04 22:24:48,30.11
2025-02-04 22:19:34,30.14
2025-02-04 22:14:43,30.17
2025-02-04 22:09:51,30.13
2025-02-04 22:04:44,30.12
2025-02-04 21:59:44,30.13
2025-02-04 21:54:47,30.12
2025-02-04 21:49:39,30.07
2025-02-04 21:44:51,30.08
2025-02-04 21:39:42,30.1
2025-02-04 21:34:44,30.08
2025-02-04 21:29:51,30.08
2025-02-04 21:24:34,30.08
2025-02-04 21:19:49,30.09
2025-02-04 21:14:40,30.06
2025-02-04 21:09:46,30.06
2025-02-04 21:04:51,30.1
2025-02-04 20:59:50,30.1
2025-02-04 20:54:49,30.09
2025-02-04 20:49:34,30.07
2025-02-04 20:44:42,30.12
2025-02-04 20:39:49,30.11
2025-02-04 20:34:48,30.13
2025-02-04 20:29:49,30.12
2025-02-04 20:24:44,30.2
2025-02-04 20:19:37,30.16
2025-02-04 20:14:47,30.16
2025-02-04 20:09:32,30.18
2025-02-04 20:04:39,30.19
2025-02-04 19:59:49,30.18
2025-02-04 19:54:37,30.22
2025-02-04 19:49:31,30.18
2025-02-04 19:44:38,30.2
2025-02-04 19:39:48,30.17
2025-02-04 19:34:46,30.17
2025-02-04 19:29:51,30.22
2025-02-04 19:24:47,30.18
2025-02-04 19:19:49,30.2
2025-02-04 19:14:45,30.2
2025-02-04 19:09:50,30.23
2025-02-04 19:04:41,30.21
2025-02-04 18:59:46,30.19
2025-02-04 18:54:39,30.19
2025-02-04 18:49:35,30.18
2025-02-04 18:44:45,30.17
2025-02-04 18:39:50,30.19
2025-02-04 18:34:48,30.19
2025-02-04 18:29:39,30.2
2025-02-04 18:24:28,30.24
2025-02-04 18:19:29,30.25
2025-02-04 18:14:50,30.26
2025-02-04 18:09:48,30.34
2025-02-04 18:04:51,30.33
2025-02-04 17:59:41,30.36
2025-02-04 17:54:46,30.4
2025-02-04 17:49:47,30.44
2025-02-04 17:44:47,30.53
2025-02-04 17:39:32,30.62
2025-02-04 17:34:50,30.69
2025-02-04 17:29:51,30.75
2025-02-04 17:24:51,30.8
2025-02-04 17:19:44,30.77
2025-02-04 17:14:49,30.66
2025-02-04 17:09:50,30.61
2025-02-04 17:04:41,30.66
2025-02-04 16:59:40,30.65
2025-02-04 16:54:45,30.68
2025-02-04 16:49:49,30.74
2025-02-04 16:44:40,30.7
2025-02-04 16:39:50,30.63
2025-02-04 16:34:43,30.67
2025-02-04 16:29:48,30.74
2025-02-04 16:24:49,30.73
2025-02-04 16:19:41,30.73
2025-02-04 16:14:50,30.69
2025-02-04 16:09:38,30.68
2025-02-04 16:04:22,30.73
2025-02-04 15:59:50,30.66
2025-02-04 15:54:51,30.68
2025-02-04 15:49:51,30.6
2025-02-04 15:44:48,30.63
2025-02-04 15:39:44,30.59
2025-02-04 15:34:40,30.66
2025-02-04 15:29:27,30.74
2025-02-04 15:24:43,30.71
2025-02-04 15:19:23,30.87
2025-02-04 15:14:38,30.78
2025-02-04 15:09:50,30.75
2025-02-04 15:04:47,30.83
2025-02-04 14:59:51,30.78
2025-02-04 14:54:36,30.69
2025-02-04 14:49:47,30.81
2025-02-04 14:44:34,30.74
2025-02-04 14:34:38,30.79
2025-02-04 14:29:29,30.72
2025-02-04 14:24:47,30.73
2025-02-04 14:19:35,30.79
2025-02-04 14:14:39,30.61
2025-02-04 14:09:28,30.66
2025-02-04 14:04:43,30.69
2025-02-04 13:59:45,30.59
2025-02-04 13:54:03,30.53
2025-02-04 13:49:40,30.58
2025-02-04 13:44:44,30.46
2025-02-04 13:38:49,30.45
2025-02-04 13:34:24,30.47
2025-02-04 13:27:07,30.52
2025-02-04 13:24:11,30.44
2025-02-04 13:19:15,30.62
2025-02-04 13:14:41,30.52
2025-02-04 13:09:34,30.47
2025-02-04 13:04:39,30.28
2025-02-04 12:59:43,30.1
2025-02-04 12:54:32,30.12
2025-02-04 12:49:47,30.15
2025-02-04 12:44:49,30.22
2025-02-04 12:39:47,30.19
2025-02-04 12:34:47,30.11
2025-02-04 12:29:32,30.27
2025-02-04 12:24:48,30.22
2025-02-04 12:19:33,30.14
2025-02-04 12:14:31,30.25
2025-02-04 12:09:28,30.34
2025-02-04 12:04:32,30.29
2025-02-04 11:59:50,30.26
2025-02-04 11:53:37,30.18
2025-02-04 11:49:32,30.12
2025-02-04 11:44:28,29.88
2025-02-04 11:39:49,29.86
2025-02-04 11:34:26,29.8
2025-02-04 11:29:50,29.83
2025-02-04 11:24:43,30.05
2025-02-04 11:19:48,29.95
2025-02-04 11:14:33,29.82
2025-02-04 11:09:49,29.73
2025-02-04 11:04:42,29.8
2025-02-04 10:59:42,29.91
2025-02-04 10:54:51,29.88
2025-02-04 10:49:09,29.69
2025-02-04 10:44:44,29.72
2025-02-04 10:39:43,29.8
2025-02-04 10:34:50,29.73
2025-02-04 10:29:13,29.61
2025-02-04 10:24:32,29.78
2025-02-04 10:19:41,29.81
2025-02-04 10:14:43,29.71
2025-02-04 10:09:50,29.56
2025-02-04 10:04:44,29.3
2025-02-04 09:59:40,29.36
2025-02-04 09:54:45,29.4
2025-02-04 09:49:41,29.58
2025-02-04 09:44:51,29.57
2025-02-04 09:39:41,29.33
2025-02-04 09:34:46,29.48
2025-02-04 09:29:34,29.5
2025-02-04 09:24:50,29.45
2025-02-04 09:19:27,29.34
2025-02-04 09:14:36,29.15
2025-02-04 09:09:44,29.11
2025-02-04 09:04:50,29.02
2025-02-04 08:59:03,29.01
2025-02-04 08:54:44,29.03
2025-02-04 08:49:48,29.04
2025-02-04 08:44:50,28.88
2025-02-04 08:39:41,29.01
2025-02-04 08:34:47,28.91
2025-02-04 08:29:37,28.78
2025-02-04 08:24:45,28.81
2025-02-04 08:19:50,28.88
2025-02-04 08:14:51,28.64
2025-02-04 08:09:51,28.47
2025-02-04 08:04:50,28.54
2025-02-04 07:59:45,28.63
2025-02-04 07:54:50,28.65
2025-02-04 07:49:49,28.66
2025-02-04 07:44:51,28.56
2025-02-04 07:39:47,28.62
2025-02-04 07:34:49,28.59
2025-02-04 07:29:48,28.48
2025-02-04 07:24:51,28.34
2025-02-04 07:19:49,28.35
2025-02-04 07:14:45,28.38
2025-02-04 07:09:50,28.38
2025-02-04 07:04:46,28.25
2025-02-04 06:59:51,28.18
2025-02-04 06:54:49,28.19
