Tag name: Preben - Office 404 - Temperature
Time, Value
2025-03-17 23:56:59,21.1
2025-03-17 23:51:39,21.12
2025-03-17 23:46:54,21.13
2025-03-17 23:41:55,21.14
2025-03-17 23:36:57,21.17
2025-03-17 23:31:48,21.18
2025-03-17 23:26:46,21.19
2025-03-17 23:21:48,21.22
2025-03-17 23:16:59,21.23
2025-03-17 23:11:50,21.24
2025-03-17 23:07:00,21.25
2025-03-17 23:02:01,21.28
2025-03-17 22:56:57,21.28
2025-03-17 22:52:01,21.3
2025-03-17 22:46:52,21.33
2025-03-17 22:42:02,21.35
2025-03-17 22:36:44,21.36
2025-03-17 22:31:59,21.38
2025-03-17 22:27:00,21.39
2025-03-17 22:21:59,21.41
2025-03-17 22:16:55,21.43
2025-03-17 22:11:53,21.45
2025-03-17 22:06:55,21.48
2025-03-17 22:01:57,21.5
2025-03-17 21:56:58,21.52
2025-03-17 21:51:59,21.55
2025-03-17 21:46:50,21.57
2025-03-17 21:41:57,21.59
2025-03-17 21:36:39,21.62
2025-03-17 21:31:57,21.64
2025-03-17 21:27:01,21.67
2025-03-17 21:21:59,21.72
2025-03-17 21:16:47,21.72
2025-03-17 21:11:55,21.75
2025-03-17 21:06:51,21.77
2025-03-17 21:01:52,21.79
2025-03-17 20:56:56,21.82
2025-03-17 20:51:54,21.85
2025-03-17 20:46:26,21.88
2025-03-17 20:41:58,21.91
2025-03-17 20:36:56,21.94
2025-03-17 20:31:55,21.97
2025-03-17 20:27:01,21.99
2025-03-17 20:21:47,22.03
2025-03-17 20:16:56,22.06
2025-03-17 20:11:53,22.09
2025-03-17 20:06:59,22.13
2025-03-17 20:01:55,22.15
2025-03-17 19:56:59,22.2
2025-03-17 19:52:00,22.24
2025-03-17 19:46:51,22.27
2025-03-17 19:42:01,22.31
2025-03-17 19:37:00,22.36
2025-03-17 19:31:58,22.4
2025-03-17 19:26:54,22.43
2025-03-17 19:21:50,22.48
2025-03-17 19:16:46,22.52
2025-03-17 19:12:01,22.55
2025-03-17 19:06:52,22.61
2025-03-17 19:01:40,22.65
2025-03-17 18:56:49,22.69
2025-03-17 18:51:58,22.76
2025-03-17 18:47:00,22.8
2025-03-17 18:41:51,22.85
2025-03-17 18:36:39,22.93
2025-03-17 18:31:51,22.98
2025-03-17 18:26:55,23.03
2025-03-17 18:22:02,23.1
2025-03-17 18:16:41,23.15
2025-03-17 18:11:54,23.2
2025-03-17 18:06:34,23.26
2025-03-17 18:01:51,23.31
2025-03-17 17:56:47,23.37
2025-03-17 17:51:56,23.4
