datetime,altitude,azimuth
2025-02-24T00:00:00+00:00,-39.33714977218925,9.09570778777561
2025-02-24T00:05:00+00:00,-39.22797552385669,10.682598062318647
2025-02-24T00:10:00+00:00,-39.10173066029302,12.264723931767833
2025-02-24T00:15:00+00:00,-38.95856530221658,13.841442382578435
2025-02-24T00:20:00+00:00,-38.79864812999742,15.412134540804914
2025-02-24T00:25:00+00:00,-38.62216566391542,16.976207369725273
2025-02-24T00:30:00+00:00,-38.429321251091395,18.533097222152406
2025-02-24T00:35:00+00:00,-38.220334341175,20.082269972278112
2025-02-24T00:40:00+00:00,-37.995439353615964,21.62322402776502
2025-02-24T00:45:00+00:00,-37.75488475090494,23.15549096055554
2025-02-24T00:50:00+00:00,-37.49893209050999,24.678636097435344
2025-02-24T00:55:00+00:00,-37.22785493405064,26.192259660914203
2025-02-24T01:00:00+00:00,-36.9419377250541,27.695997640963498
2025-02-24T01:05:00+00:00,-36.64147480912195,29.18952160002908
2025-02-24T01:10:00+00:00,-36.326769530597026,30.672538054567468
2025-02-24T01:15:00+00:00,-35.99813292862395,32.14478964194171
2025-02-24T01:20:00+00:00,-35.65588308118336,33.60605308333518
2025-02-24T01:25:00+00:00,-35.30034383720536,35.05613995195009
2025-02-24T01:30:00+00:00,-34.93184401018195,36.49489527999077
2025-02-24T01:35:00+00:00,-34.55071659134238,37.92219624804659
2025-02-24T01:40:00+00:00,-34.157297809954464,39.33795151863018
2025-02-24T01:45:00+00:00,-33.75192621884961,40.74210045190162
2025-02-24T01:50:00+00:00,-33.33494203548798,42.1346114694536
2025-02-24T01:55:00+00:00,-32.90668660936097,43.51548018138408
2025-02-24T02:00:00+00:00,-32.467501369241795,44.88472932457822
2025-02-24T02:05:00+00:00,-32.01772767507303,46.24240587459292
2025-02-24T02:10:00+00:00,-31.557705852168528,47.588580916669315
2025-02-24T02:15:00+00:00,-31.08777485405519,48.92334765114839
2025-02-24T02:20:00+00:00,-30.60827193378232,50.24681961686426
2025-02-24T02:25:00+00:00,-30.11953211257879,51.559129642597526
2025-02-24T02:30:00+00:00,-29.621887678802736,52.860428810120695
2025-02-24T02:35:00+00:00,-29.11566799116988,54.150884740207715
2025-02-24T02:40:00+00:00,-28.601199408034905,55.43067976156952
2025-02-24T02:45:00+00:00,-28.078804569380328,56.70001085039007
2025-02-24T02:50:00+00:00,-27.548802746633257,57.959087031586094
2025-02-24T02:55:00+00:00,-27.011509188017303,59.20812940943564
2025-02-24T03:00:00+00:00,-26.467235191326623,60.44736953040773
2025-02-24T03:05:00+00:00,-25.916288150507118,61.67704799963745
2025-02-24T03:10:00+00:00,-25.358971340568527,62.897413816473886
2025-02-24T03:15:00+00:00,-24.795583719001424,64.10872375541054
2025-02-24T03:20:00+00:00,-24.2264200475324,65.31124114966698
2025-02-24T03:25:00+00:00,-23.651771125799854,66.50523457946741
2025-02-24T03:30:00+00:00,-23.071923275122497,67.69097822779946
2025-02-24T03:35:00+00:00,-22.487158994097484,68.8687498768177
2025-02-24T03:40:00+00:00,-21.89775647110402,70.03883136191266
2025-02-24T03:45:00+00:00,-21.303989886030084,71.20150746828855
2025-02-24T03:50:00+00:00,-20.706129655344565,72.35706505680969
2025-02-24T03:55:00+00:00,-20.104442371923046,73.50579285535174
2025-02-24T04:00:00+00:00,-19.499190748255323,74.6479812870649
2025-02-24T04:05:00+00:00,-18.890633891386024,75.78392171954152
2025-02-24T04:10:00+00:00,-18.279027674208745,76.91390560922892
2025-02-24T04:15:00+00:00,-17.664624293710833,78.0382252042949
2025-02-24T04:20:00+00:00,-17.04767306421517,79.15717199855285
2025-02-24T04:25:00+00:00,-16.428419982590373,80.27103749411168
2025-02-24T04:30:00+00:00,-15.807108120552225,81.38011247005898
2025-02-24T04:35:00+00:00,-15.183977941020043,82.48468644527199
2025-02-24T04:40:00+00:00,-14.559267284597508,83.58504775560446
2025-02-24T04:45:00+00:00,-13.933211354267756,84.68148365040979
2025-02-24T04:50:00+00:00,-13.306043036781329,85.77427981526193
2025-02-24T04:55:00+00:00,-12.677993311496332,86.8637197703876
2025-02-24T05:00:00+00:00,-12.049290816419184,87.95008575141695
2025-02-24T05:05:00+00:00,-11.42016267745582,89.0336574048517
2025-02-24T05:10:00+00:00,-10.790834071991481,90.11471269289086
2025-02-24T05:15:00+00:00,-10.161528635321577,91.19352733981766
2025-02-24T05:20:00+00:00,-9.53246878161679,92.27037444281564
2025-02-24T05:25:00+00:00,-8.903875683405891,93.3455246673859
2025-02-24T05:30:00+00:00,-8.275969250751219,94.41924644565925
2025-02-24T05:35:00+00:00,-7.648968444699381,95.49180560157262
2025-02-24T05:40:00+00:00,-7.023091671128656,96.56346483450204
2025-02-24T05:45:00+00:00,-6.398556330515794,97.6344846461176
2025-02-24T05:50:00+00:00,-5.775579624563326,98.70512210560119
2025-02-24T05:55:00+00:00,-5.154378099477225,99.77563177719072
2025-02-24T06:00:00+00:00,-4.5351680270361205,100.84626519696008
2025-02-24T06:05:00+00:00,-3.9181656897427075,101.91727050378373
2025-02-24T06:10:00+00:00,-3.3035873333396926,102.9888926269675
2025-02-24T06:15:00+00:00,-2.6916491148394135,104.06137347782816
2025-02-24T06:20:00+00:00,-2.0825673753962657,105.13495155993338
2025-02-24T06:25:00+00:00,-1.4765589867131692,106.20986142062308
2025-02-24T06:30:00+00:00,-0.87384087543537,107.28633454200033
2025-02-24T06:35:00+00:00,0.24240462775573002,108.36459805593296
2025-02-24T06:40:00+00:00,0.7534357279734527,109.44487562051754
