SensorName,Time,Value
Preben - Canteen Humidity,2025-02-27 16:10:49,27.5
Preben - Canteen Humidity,2025-02-27 16:05:48,27.55
Preben - Canteen Humidity,2025-02-27 16:00:48,27.84
Preben - Canteen Humidity,2025-02-27 15:55:47,27.86
Preben - Canteen Humidity,2025-02-27 15:50:49,27.76
Preben - Canteen Humidity,2025-02-27 15:45:49,27.71
Preben - Canteen Humidity,2025-02-27 15:40:48,27.65
Preben - Canteen Humidity,2025-02-27 15:35:49,27.54
Preben - Canteen Humidity,2025-02-27 15:30:49,27.87
Preben - Canteen Humidity,2025-02-27 15:25:49,27.8
Preben - Canteen Humidity,2025-02-27 15:20:49,27.75
Preben - Canteen Humidity,2025-02-27 15:15:47,27.79
Preben - Canteen Humidity,2025-02-27 15:10:48,28.04
Preben - Canteen Humidity,2025-02-27 15:05:42,27.98
Preben - Canteen Humidity,2025-02-27 15:00:49,27.94
Preben - Canteen Humidity,2025-02-27 14:55:48,28.02
Preben - Canteen Humidity,2025-02-27 14:50:49,28.24
Preben - Canteen Humidity,2025-02-27 14:40:49,28.27
Preben - Canteen Humidity,2025-02-27 14:35:48,28.39
Preben - Canteen Humidity,2025-02-27 14:30:49,28.46
Preben - Canteen Humidity,2025-02-27 14:25:49,28.6
Preben - Canteen Humidity,2025-02-27 14:20:49,28.7
Preben - Canteen Humidity,2025-02-27 14:15:45,28.62
Preben - Canteen Humidity,2025-02-27 14:10:49,28.52
Preben - Canteen Humidity,2025-02-27 14:05:48,28.78
Preben - Canteen Humidity,2025-02-27 14:00:49,29.09
Preben - Canteen Humidity,2025-02-27 13:55:49,28.07
Preben - Canteen Humidity,2025-02-27 13:50:49,27.64
Preben - Canteen Humidity,2025-02-27 13:45:43,27.62
Preben - Canteen Humidity,2025-02-27 13:40:48,27.72
Preben - Canteen Humidity,2025-02-27 13:35:49,27.76
Preben - Canteen Humidity,2025-02-27 13:30:47,27.78
Preben - Canteen Humidity,2025-02-27 13:25:49,27.75
Preben - Canteen Humidity,2025-02-27 13:20:49,28.06
Preben - Canteen Humidity,2025-02-27 13:15:49,28.11
Preben - Canteen Humidity,2025-02-27 13:10:48,28.1
Preben - Canteen Humidity,2025-02-27 13:05:46,28.1
Preben - Canteen Humidity,2025-02-27 13:00:49,28.35
Preben - Canteen Humidity,2025-02-27 12:55:45,28.23
Preben - Canteen Humidity,2025-02-27 12:50:48,28.5
Preben - Canteen Humidity,2025-02-27 12:45:49,28.61
Preben - Canteen Humidity,2025-02-27 12:40:49,28.5
Preben - Canteen Humidity,2025-02-27 12:35:48,29.25
Preben - Canteen Humidity,2025-02-27 12:30:49,28.5
Preben - Canteen Humidity,2025-02-27 12:25:41,28.85
Preben - Canteen Humidity,2025-02-27 12:20:47,28.94
Preben - Canteen Humidity,2025-02-27 12:15:41,28.6
Preben - Canteen Humidity,2025-02-27 12:05:47,27.4
Preben - Canteen Humidity,2025-02-27 12:00:46,27.6
Preben - Canteen Humidity,2025-02-27 11:55:46,27.58
Preben - Canteen Humidity,2025-02-27 11:50:49,27.57
Preben - Canteen Humidity,2025-02-27 11:45:46,27.81
Preben - Canteen Humidity,2025-02-27 11:40:48,27.93
Preben - Canteen Humidity,2025-02-27 11:35:45,27.96
Preben - Canteen Humidity,2025-02-27 11:30:45,27.89
Preben - Canteen Humidity,2025-02-27 11:25:46,27.96
Preben - Canteen Humidity,2025-02-27 11:20:48,28.05
Preben - Canteen Humidity,2025-02-27 11:15:49,28.07
Preben - Canteen Humidity,2025-02-27 11:10:47,27.77
Preben - Canteen Humidity,2025-02-27 11:05:41,27.89
Preben - Canteen Humidity,2025-02-27 11:00:49,27.82
Preben - Canteen Humidity,2025-02-27 10:55:50,27.71
Preben - Canteen Humidity,2025-02-27 10:50:48,27.83
Preben - Canteen Humidity,2025-02-27 10:45:46,28.11
Preben - Canteen Humidity,2025-02-27 10:40:44,28.14
Preben - Canteen Humidity,2025-02-27 10:35:40,28.06
Preben - Canteen Humidity,2025-02-27 10:30:48,28.16
Preben - Canteen Humidity,2025-02-27 10:25:49,28.25
Preben - Canteen Humidity,2025-02-27 10:20:50,28.21
Preben - Canteen Humidity,2025-02-27 10:15:45,28.09
Preben - Canteen Humidity,2025-02-27 10:10:49,28.4
Preben - Canteen Humidity,2025-02-27 10:05:47,28.42
Preben - Canteen Humidity,2025-02-27 10:00:49,28.34
Preben - Canteen Humidity,2025-02-27 09:55:46,28.24
Preben - Canteen Humidity,2025-02-27 09:50:49,28
Preben - Canteen Humidity,2025-02-27 09:45:47,28.06
Preben - Canteen Humidity,2025-02-27 09:40:43,27.77
Preben - Canteen Humidity,2025-02-27 09:35:49,27.67
Preben - Canteen Humidity,2025-02-27 09:30:47,28.04
Preben - Canteen Humidity,2025-02-27 09:25:45,27.97
Preben - Canteen Humidity,2025-02-27 09:20:49,27.87
Preben - Canteen Humidity,2025-02-27 09:15:46,27.83
Preben - Canteen Humidity,2025-02-27 09:10:47,28.24
Preben - Canteen Humidity,2025-02-27 09:05:48,28.25
Preben - Canteen Humidity,2025-02-27 09:00:49,28.25
Preben - Canteen Humidity,2025-02-27 08:55:44,27.88
Preben - Canteen Humidity,2025-02-27 08:50:48,28.18
Preben - Canteen Humidity,2025-02-27 08:45:48,28.28
Preben - Canteen Humidity,2025-02-27 08:40:49,28.12
Preben - Canteen Humidity,2025-02-27 08:35:48,28.16
Preben - Canteen Humidity,2025-02-27 08:30:45,28.41
Preben - Canteen Humidity,2025-02-27 08:25:49,28.27
Preben - Canteen Humidity,2025-02-27 08:20:43,28.35
Preben - Canteen Humidity,2025-02-27 08:15:47,28.65
